"","unidade","ano","Nao.docentes","Docente","proporcao","unid.ensino"
"1","ABCD",2023,34,3,0.918918918918919,FALSE
"2","CDCC",2014,35,2,0.945945945945946,TRUE
"3","CDCC",2023,29,1,0.966666666666667,TRUE
"4","CEBIMar",2014,35,6,0.853658536585366,FALSE
"5","CEBIMar",2023,31,8,0.794871794871795,FALSE
"6","CENA",2014,129,33,0.796296296296296,FALSE
"7","CENA",2023,117,31,0.790540540540541,FALSE
"8","CEPEUSP",2014,169,0,1,FALSE
"9","CEPEUSP",2023,119,0,1,FALSE
"10","EACH",2014,202,273,0.425263157894737,TRUE
"11","EACH",2023,174,242,0.418269230769231,TRUE
"12","ECA",2014,253,199,0.559734513274336,TRUE
"13","ECA",2023,179,154,0.537537537537538,TRUE
"14","EDUSP",2014,71,0,1,FALSE
"15","EDUSP",2023,52,0,1,FALSE
"16","EE",2014,138,87,0.613333333333333,TRUE
"17","EE",2023,89,47,0.654411764705882,TRUE
"18","EEFE",2014,118,49,0.706586826347305,TRUE
"19","EEFE",2023,79,39,0.669491525423729,TRUE
"20","EEFERP",2014,39,20,0.661016949152542,TRUE
"21","EEFERP",2023,39,20,0.661016949152542,TRUE
"22","EEL",2014,272,72,0.790697674418605,TRUE
"23","EEL",2023,166,85,0.661354581673307,TRUE
"24","EERP",2014,125,104,0.54585152838428,TRUE
"25","EERP",2023,96,85,0.530386740331492,TRUE
"26","EESC",2014,354,203,0.635547576301616,TRUE
"27","EESC",2023,293,168,0.635574837310195,TRUE
"28","EP",2014,513,455,0.52995867768595,TRUE
"29","EP",2023,369,385,0.489389920424403,TRUE
"30","ESALQ",2014,544,247,0.687737041719343,TRUE
"31","ESALQ",2023,432,182,0.703583061889251,TRUE
"32","FAU",2014,195,120,0.619047619047619,TRUE
"33","FAU",2023,120,93,0.563380281690141,TRUE
"34","FCF",2014,188,89,0.67870036101083,TRUE
"35","FCF",2023,124,66,0.652631578947368,TRUE
"36","FCFRP",2014,217,101,0.682389937106918,TRUE
"37","FCFRP",2023,173,84,0.673151750972763,TRUE
"38","FD",2014,169,164,0.507507507507508,TRUE
"39","FD",2023,124,134,0.48062015503876,TRUE
"40","FDRP",2014,48,40,0.545454545454545,TRUE
"41","FDRP",2023,47,34,0.580246913580247,TRUE
"42","FE",2014,213,109,0.661490683229814,TRUE
"43","FE",2023,164,88,0.650793650793651,TRUE
"44","FEA",2014,143,186,0.434650455927052,TRUE
"45","FEA",2023,101,137,0.42436974789916,TRUE
"46","FEARP",2014,72,95,0.431137724550898,TRUE
"47","FEARP",2023,62,87,0.416107382550336,TRUE
"48","FFCLRP",2014,236,216,0.52212389380531,TRUE
